sushrg,elective,emergency
HT14B,28,258
HT14C,10,258
HT15Z,5,258
HT22A,82,258
HT22B,38,258
HT22C,26,258
HT23A,61,258
HT23B,33,258
HT23C,21,258
HT23D,12,258
HT23E,7,453
HT24A,47,258
HT24B,15,258
HT24C,9,258
HT24D,6,453
HT25Z,5,258
HT32A,62,258
HT32B,29,258
HT32C,15,258
HT33A,53,258
HT33B,26,258
HT33C,15,258
HT33D,10,258
HT33E,6,453
HT34A,61,258
HT34B,22,258
HT34C,12,258
HT34D,9,258
HT34E,5,453
HT35Z,5,258
HT42A,13,258
HT42B,5,258
HT43A,30,258
HT43B,6,258
HT43C,5,258
HT43D,5,453
HT43E,5,453
HT44A,31,258
HT44B,5,258
HT44C,5,258
HT44D,5,453
HT44E,5,453
HT45Z,5,258
HT52A,59,258
HT52B,28,258
HT52C,14,258
HT53A,57,258
HT53B,20,258
HT53C,9,258
HT53D,5,258
HT53E,5,453
HT54A,40,258
HT54B,10,258
HT54C,5,258
HT54D,5,258
HT55Z,5,258
HT62A,43,258
HT62B,6,258
HT63A,45,258
HT63B,15,258
HT63C,6,258
HT63D,5,258
HT63E,5,453
HT63F,5,453
HT64A,9,258
HT64B,5,258
HT64C,5,453
HT64D,5,453
HT65Z,5,258
HT81A,97,258
HT81B,69,258
HT81C,48,258
HT81D,30,258
HT86A,56,258
HT86B,32,258
HT86C,17,258
JA12D,51,253
JA12E,24,253
JA12F,16,253
JA12G,34,253
JA12H,20,253
JA12J,13,253
JA12K,8,253
JA12L,5,253
JA13A,11,253
JA13B,10,253
JA13C,5,253
JA20D,47,253
JA20E,17,253
JA20F,9,253
JA21A,22,253
JA21B,13,253
JA30Z,18,253
JA31Z,15,253
JA32Z,25,253
JA33Z,19,253
JA34Z,124,253
JA35Z,10,253
JA36Z,13,253
JA37Z,30,253
JA38A,39,253
JA38B,17,253
JA38C,5,253
JA39Z,5,253
JA40Z,5,253
JA41Z,5,253
JA42Z,11,253
JA43A,22,253
JA43B,9,253
JA44Z,5,253
JA45Z,5,253
JC40Z,84,253
JC41Z,50,253
JC42A,5,253
JC42B,5,253
JC43A,5,253
JC43B,5,253
JC44Z,5,253
JC45A,5,253
JC45B,5,253
JC46Z,5,253
JC47A,5,253
JC47B,5,253
JD07A,80,253
JD07B,39,253
JD07C,23,253
JD07D,10,253
JD07E,75,253
JD07F,46,253
JD07G,31,253
JD07H,21,253
JD07J,10,253
JD07K,5,253
KA03C,47,243
KA03D,16,243
KA04A,53,243
KA04B,27,243
KA05C,19,243
KA05D,5,243
KA06C,42,243
KA06D,14,243
KA06E,8,243
KA07A,45,243
KA07B,10,243
KA07C,5,243
KA08A,21,243
KA08B,9,243
KA08C,5,243
KA09C,70,243
KA09D,27,243
KA09E,13,243
KB01C,27,243
KB01D,9,243
KB01E,5,243
KB01F,5,243
KB02G,31,243
KB02H,16,243
KB02J,6,243
KB02K,5,243
KB03C,41,243
KB03D,22,243
KB03E,15,243
KB04Z,10,243
KC04A,29,243
KC04B,5,243
KC05G,45,243
KC05H,22,243
KC05J,33,243
KC05K,19,243
KC05L,11,243
KC05M,8,243
KC05N,5,243
LA04H,87,239
LA04J,54,239
LA04K,41,239
LA04L,27,239
LA04M,13,239
LA04N,68,239
LA04P,41,239
LA04Q,25,239
LA04R,14,239
LA04S,8,239
LA05Z,5,239
LA07H,70,239
LA07J,40,239
LA07K,24,239
LA07L,53,239
LA07M,34,239
LA07N,20,239
LA07P,11,239
LA08G,60,239
LA08H,29,239
LA08J,17,239
LA08K,57,239
LA08L,33,239
LA08M,22,239
LA08N,14,239
LA08P,8,239
LA09J,54,239
LA09K,24,239
LA09L,12,239
LA09M,40,239
LA09N,23,239
LA09P,14,239
LA09Q,8,239
LA97A,5,0
LA97B,5,-
LB06H,55,239
LB06J,33,239
LB06K,21,239
LB06L,13,239
LB06M,15,239
LB06N,53,239
LB06P,34,239
LB06Q,22,239
LB06R,11,239
LB06S,8,239
LB09C,5,461
LB09D,5,239
LB10B,38,461
LB10C,40,239
LB10D,17,239
LB12Z,9,239
LB13C,64,239
LB13D,28,239
LB13E,21,239
LB13F,14,239
