type,procedure_code
usually_dc,Q548
usually_dc,Q551
usually_dc,R062
usually_dc,R281
usually_dc,R288
usually_dc,S014
usually_dc,S015
usually_dc,S041
usually_dc,S042
usually_dc,S051
usually_dc,S053
usually_dc,S061
usually_dc,S065
usually_dc,S066
usually_dc,S067
usually_dc,S069
usually_dc,S232
usually_dc,S271
usually_dc,S275
usually_dc,S279
usually_dc,S315
usually_dc,S353
usually_dc,S359
usually_dc,S361
usually_dc,S362
usually_dc,S421
usually_dc,S442
usually_dc,S444
usually_dc,S446
usually_dc,S454
usually_dc,S456
usually_dc,S534
usually_dc,S641
usually_dc,S642
usually_dc,S643
usually_dc,S661
usually_dc,S662
usually_dc,S668
usually_dc,S681
usually_dc,S682
usually_dc,S683
usually_dc,S701
usually_dc,T058
usually_dc,T123
usually_dc,T124
usually_dc,T125
usually_dc,T141
usually_dc,T192
usually_dc,T193
usually_dc,T201
usually_dc,T202
usually_dc,T203
usually_dc,T209
usually_dc,T212
usually_dc,T213
usually_dc,T222
usually_dc,T223
usually_dc,T242
usually_dc,T243
usually_dc,T249
usually_dc,T272
usually_dc,T273
usually_dc,T293
usually_dc,T298
usually_dc,T311
usually_dc,T313
usually_dc,T317
usually_dc,T364
usually_dc,T393
usually_dc,T411
usually_dc,T421
usually_dc,T422
usually_dc,T423
usually_dc,T431
usually_dc,T438
usually_dc,T439
usually_dc,T461
usually_dc,T462
usually_dc,T483
usually_dc,T521
usually_dc,T522
usually_dc,T525
usually_dc,T526
usually_dc,T531
usually_dc,T541
usually_dc,T542
usually_dc,T548
usually_dc,T558
usually_dc,T561
usually_dc,T562
usually_dc,T591
usually_dc,T592
usually_dc,T593
usually_dc,T594
usually_dc,T598
usually_dc,T601
usually_dc,T611
usually_dc,T613
usually_dc,T621
usually_dc,T622
usually_dc,T625
usually_dc,T642
usually_dc,T645
usually_dc,T652
usually_dc,T671
usually_dc,T673
usually_dc,T674
usually_dc,T676
usually_dc,T679
usually_dc,T685
usually_dc,T686
usually_dc,T691
usually_dc,T692
usually_dc,T699
usually_dc,T701
usually_dc,T702
usually_dc,T711
usually_dc,T718
usually_dc,T721
usually_dc,T723
usually_dc,T743
usually_dc,T746
usually_dc,T774
usually_dc,T791
usually_dc,T793
usually_dc,T794
usually_dc,T798
usually_dc,T799
usually_dc,T808
usually_dc,T809
usually_dc,T811
usually_dc,T819
usually_dc,T862
usually_dc,T872
usually_dc,T875
usually_dc,T877
usually_dc,T878
usually_dc,T928
usually_dc,T962
usually_dc,T972
usually_dc,T973
occasionally_op,A111
occasionally_op,A145
occasionally_op,A701
occasionally_op,A703
occasionally_op,A847
occasionally_op,B301
occasionally_op,B302
occasionally_op,B304
occasionally_op,C104
occasionally_op,C171
occasionally_op,C191
occasionally_op,C248
occasionally_op,C278
occasionally_op,C408
occasionally_op,C511
occasionally_op,C592
occasionally_op,C652
occasionally_op,C867
occasionally_op,D028
occasionally_op,D063
occasionally_op,D124
occasionally_op,D207
occasionally_op,D231
occasionally_op,E092
occasionally_op,E093
occasionally_op,E096
occasionally_op,E101
occasionally_op,E136
occasionally_op,E241
occasionally_op,E248
occasionally_op,E258
occasionally_op,E288
occasionally_op,E291
occasionally_op,E353
occasionally_op,E427
occasionally_op,E484
occasionally_op,E598
occasionally_op,E641
occasionally_op,F022
occasionally_op,F051
occasionally_op,F053
occasionally_op,F068
occasionally_op,F111
occasionally_op,F113
